NAME,AVG_EXIT,HARD_HIT,XWOBA,XBA,XSLG,BARREL,K%,BB%
Name,QS,SV,SO,ERA,WHIP,IP,FVAL,XX,XX,XX,XX,XX,XX,XX,XX
Cal Quantrill,50,68,28,27,30,39,7,31
Chris Flexen,10,20,20,18,18,26,14,61
Jordan Lyles,28,41,22,17,29,40,22,58
Patrick Corbin,33,21,18,12,27,38,35,27
Kyle Freeland,31,26,36,31,35,53,27,69
Dane Dunning,82,44,35,33,43,58,53,52
German Marquez,25,14,21,11,18,42,23,64
Nick Martinez,25,14,21,11,18,42,23,64
Jameson Taillon,25,14,21,11,18,42,23,64
Dakota Hudson,26,7,19,24,21,28,9,21
Adrian Houser,61,43,39,35,51,81,28,25
Erick Fedde,80,29,31,26,49,55,35,23
Jose Quintana,80,41,17,13,19,31,35,32
Elieser Hernandez,69,76,42,58,30,16,40,64
Zach Davies,94,93,51,46,50,68,24,30
Corey Kluber,54,47,15,7,12,46,44,83
Joan Adon,30,45,4,17,8,4,37,11
Video Forecast,30,45,4,17,8,4,37,11
Mitch Keller,83,87,65,58,61,58,30,53
Cole Irvin,75,59,29,33,19,13,15,72
Antonio Senzatela,75,59,29,33,19,13,15,72
Keegan Thompson,84,82,65,84,77,37,39,40
Nick Pivetta,5,7,14,16,15,16,60,29
Michael Wacha,30,64,63,78,73,68,31,27
Vladimir Gutierrez,58,49,15,28,30,50,11,9
Spenser Watkins,14,31,6,9,7,21,3,34
Yusei Kikuchi,14,31,6,9,7,21,3,34
Humberto Castellanos,6,7,13,39,15,6,56,8
Daniel Lynch,25,14,37,50,32,19,54,50
Tyler Wells,39,48,47,45,37,32,20,88
Zach Eflin,39,48,47,45,37,32,20,88
Drew Smyly,97,81,34,32,21,23,20,80
Ross Stripling,97,81,34,32,21,23,20,80
Vince Velasquez,9,13,12,21,9,11,42,43
Carlos Hernandez,42,43,11,9,13,30,3,25
Chris Archer,48,24,18,32,12,12,59,29
Chris Paddack,XX,XX,71,42,64,68,43,95
Justin Steele,65,56,53,35,76,95,26,15
Rich Hill,65,56,53,35,76,95,26,15
Bryse Wilson,15,36,16,11,23,34,37,34
Dallas Keuchel,15,36,16,11,23,34,37,34
Michael Pineda,6,17,14,12,9,25,9,83
Taylor Hearn,4,6,7,8,13,5,60,35
Video Forecast,4,6,7,8,13,5,60,35
Zach Thompson,78,56,18,13,20,38,29,37
Michael King,70,21,77,63,76,50,97,79
Aaron Civale,18,36,28,33,22,10,48,73
Matt Brash,9,18,3,4,16,37,35,2
Wil Crowe,88,100,90,88,97,95,54,27
Dillon Peters,87,87,72,74,87,81,43,15
David Peterson,68,77,49,57,44,29,40,31
Bryce Elder,65,37,7,18,13,40,7,5
Aaron Sanchez,65,37,7,18,13,40,7,5
Jeff Hoffman,75,89,86,89,77,47,50,53
Josh Fleming,12,27,32,23,39,46,26,38
Josh Rogers,34,41,26,29,18,28,9,55
Keegan Akin,62,77,59,32,41,46,33,93
Jose Suarez,10,14,4,7,6,31,29,10
Kyle Bradish,5,20,43,38,30,18,62,84
Jeffrey Springs,91,90,97,95,94,93,80,83
Oliver Ortega,59,65,82,67,88,79,31,39
Nabil Crismatt,38,30,49,45,77,78,34,19
Brock Burke,38,30,49,45,77,78,34,19
Reiver Sanmartin,42,27,8,5,10,45,4,29
Cody Poteet,10,31,77,60,87,95,48,26
Clay Holmes,50,38,98,92,98,94,72,92
Jimmy Herget,23,14,67,29,47,60,73,98
Domingo Acevedo,16,24,22,10,24,34,47,70
Drew Hutchison,16,24,22,10,24,34,47,70
Matt Wisler,16,24,22,10,24,34,47,70
Trent Thornton,21,7,36,36,50,81,14,15
Alexis Diaz,21,7,36,36,50,81,14,15
Ryan Tepera,75,97,63,78,58,74,40,31
Kendall Graveman,75,97,63,78,58,74,40,31
Andre Pallante,48,23,61,47,60,60,12,65
J.P. Feyereisen,54,66,82,91,49,35,69,74
Robert Suarez,39,88,68,82,73,63,83,31
Beau Brieske,68,43,14,37,9,6,9,26
Video Forecast,68,43,14,37,9,6,9,26
Jakob Junis,68,43,14,37,9,6,9,26
Anthony Bass,53,82,86,76,78,68,82,76
Nick Nelson,6,53,29,29,35,78,27,17
Dillon Tate,95,67,50,27,45,47,46,91
Matt Moore,95,67,50,27,45,47,46,91
Tanner Banks,94,67,59,71,67,47,31,19
Matt Foster,75,72,89,84,85,92,75,59
Corbin Martin,15,12,38,23,46,77,48,39
Zach Jackson,1,3,24,43,31,9,86,6
Trevor Richards,1,3,24,43,31,9,86,6
John Brebbia,27,7,17,20,14,5,72,35
Hector Neris,7,6,61,57,35,37,69,96
Paolo Espino,25,45,23,12,16,19,27,80
Ian Kennedy,25,45,23,12,16,19,27,80
Aaron Loup,XX,XX,XX,XX,XX,XX,XX,XX
Jesse Chavez,35,78,88,88,83,72,72,91
Erik Swanson,61,79,97,88,92,58,98,97
Tyler Rogers,100,99,94,84,96,95,32,90
Adam Cimber,13,5,53,28,43,75,20,90
Dauri Moreta,15,19,7,39,6,2,66,39
Will Vest,31,24,83,94,83,19,90,69
A.J. Minter,62,95,99,99,95,19,99,89
Jaime Barria,30,51,21,13,11,14,30,97
