Name,QS,SV,K,ERA,WHIP,IP,FVAL
Chris Sale,9,0,129,3.5,1.12,106,5.76
Logan Webb,14,0,161,3.5,1.2,167,12.98
Sonny Gray,14,0,161,3.95,1.25,158,7.34
Kevin Gausman,14,0,161,3.95,1.25,158,7.34
Jordan Romano,14,0,161,3.95,1.25,158,7.34
Taylor Rogers,4,23,76,3.12,1.12,60,8.27
Joe Barlow,3,17,60,4.0,1.37,56,-1.65
Pablo Lopez,13,0,143,3.69,1.15,145,8.95
Ranger Suarez,14,0,131,3.83,1.29,146,4.77
Andrew Kittredge,6,15,73,3.21,1.14,68,6.02
Miles Mikolas,11,0,91,4.21,1.25,130,-2.36
Dustin May,1,0,21,3.39,1.14,19,-12.53
