Player,Spot,Frequency
Jarren Duran,1,2
Jarren Duran,CF,4
Jarren Duran,8,1
Jarren Duran,LF,2
Jarren Duran,2,3
Bobby Dalbec,2,1
Bobby Dalbec,DH,1
Bobby Dalbec,5,3
Bobby Dalbec,1B,10
Bobby Dalbec,6,6
Bobby Dalbec,3,2
Bobby Dalbec,3B,2
Bobby Dalbec,7,1
Roberto Ramos,3,1
Roberto Ramos,1B,2
Roberto Ramos,8,1
Roberto Ramos,DH,2
Roberto Ramos,6,1
Roberto Ramos,5,1
Rob Refsnyder,4,1
Rob Refsnyder,LF,2
Rob Refsnyder,7,2
Rob Refsnyder,RF,3
Rob Refsnyder,5,1
Rob Refsnyder,6,2
Rob Refsnyder,CF,2
Rob Refsnyder,8,1
Franchy Cordero,5,1
Franchy Cordero,RF,3
Franchy Cordero,6,2
Franchy Cordero,1B,1
Franchy Cordero,9,1
Franchy Cordero,7,1
Franchy Cordero,DH,1
Jeter Downs,6,1
Jeter Downs,SS,2
Jeter Downs,9,1
Yolmer Sanchez,7,1
Yolmer Sanchez,2B,5
Yolmer Sanchez,8,2
Yolmer Sanchez,3B,2
Yolmer Sanchez,9,4
Ryan Fitzgerald,8,2
Ryan Fitzgerald,3B,2
Ryan Fitzgerald,7,1
Ryan Fitzgerald,LF,1
Ryan Fitzgerald,2B,1
Ryan Fitzgerald,9,1
Roldani Baldwin,9,1
Roldani Baldwin,C,1
Jackie Bradley Jr.,1,1
Jackie Bradley Jr.,CF,2
Jackie Bradley Jr.,7,5
Jackie Bradley Jr.,RF,9
Jackie Bradley Jr.,8,5
Jackie Bradley Jr.,6,1
Jackie Bradley Jr.,DH,1
Christian Arroyo,2,1
Christian Arroyo,2B,4
Christian Arroyo,1,5
Christian Arroyo,SS,3
Christian Arroyo,7,1
Christian Arroyo,RF,3
Christian Arroyo,3,1
Christian Arroyo,8,2
Rafael Devers,3,2
Rafael Devers,3B,12
Rafael Devers,2,10
Xander Bogaerts,4,1
Xander Bogaerts,SS,9
Xander Bogaerts,3,7
Xander Bogaerts,1,1
Kevin Plawecki,6,2
Kevin Plawecki,DH,2
Kevin Plawecki,3,2
Kevin Plawecki,8,1
Kevin Plawecki,C,8
Kevin Plawecki,5,1
Kevin Plawecki,9,3
Kevin Plawecki,4,1
Jeisson Rosario,8,1
Jeisson Rosario,RF,1
Kole Cottam,9,1
Kole Cottam,C,1
Ceddanne Rafaela,2,1
Ceddanne Rafaela,LF,1
Christian Vazquez,4,2
Christian Vazquez,C,9
Christian Vazquez,5,1
Christian Vazquez,8,1
Christian Vazquez,7,4
Christian Vazquez,9,1
Jonathan Arauz,5,1
Jonathan Arauz,2B,4
Jonathan Arauz,9,5
Jonathan Arauz,SS,5
Jonathan Arauz,7,1
Jonathan Arauz,8,2
J.D. Martinez,4,11
J.D. Martinez,DH,10
J.D. Martinez,LF,2
J.D. Martinez,3,1
Alex Verdugo,5,7
Alex Verdugo,LF,9
Alex Verdugo,DH,1
Alex Verdugo,6,1
Alex Verdugo,2,1
Alex Verdugo,4,1
Enrique Hernandez,1,10
Enrique Hernandez,CF,11
Enrique Hernandez,3,1
Travis Shaw,6,1
Travis Shaw,1B,6
Travis Shaw,4,2
Travis Shaw,DH,1
Travis Shaw,3,1
Travis Shaw,2,1
Travis Shaw,5,1
Travis Shaw,7,1
Alex Binelas,9,1
Alex Binelas,3B,1
Christin Stewart,7,1
Christin Stewart,LF,2
Christin Stewart,5,1
Trevor Story,6,2
Trevor Story,2B,5
Trevor Story,2,1
Trevor Story,3,1
Trevor Story,5,1
